symbol,mint,pledged_usd_kamino,pledged_usd_jupiter_lend,pledged_usd_total,ui_multiplier,sellable_usd_1pct,sellable_usd_5pct,sellable_usd_10pct,route_ends_at_usd,note,fetched_at_utc
SPYx,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,4348160,14282312,18630471,1.005714560286254,1037485,1348567,1737420,,,2026-09-18T10:56:33Z
QQQx,Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,2888771,1665520,4554290,1.0027250296551051,192289,532636,664078,,,2026-09-18T10:56:33Z
TSLAx,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,2747473,1613693,4361166,1.0,147000,512667,574991,,,2026-09-18T10:56:33Z
NVDAx,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,2622993,1607106,4230098,1.001701196801074,293846,537075,624620,,,2026-09-18T10:56:33Z
MSTRx,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,3943526,0,3943526,1.0,129285,390559,518314,,,2026-09-18T10:56:33Z
GOOGLx,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,2790003,0,2790003,1.0023772500603487,67797,257514,292627,,,2026-09-18T10:56:33Z
CRCLx,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,1001972,0,1001972,1.0,363631,1058767,1254368,,,2026-09-18T10:56:33Z
STRCx,Xs78JED6PFZxWc2wCEPspZW9kL3Se5J7L5TChKgsidH,716370,0,716370,1.0863570205637327,237659,268035,290966,,excluded from published totals: Token-2022 UI multiplier makes quotes inconsistent,2026-09-18T10:56:33Z
HOODx,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,615020,0,615020,1.0,17748,372696,875000,906250,,2026-09-18T10:56:33Z
AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,469296,0,469296,1.0032690125398187,65266,221875,221875,231250,,2026-09-18T10:56:33Z
